racer_id,year,period,race_count,first_count,second_count,finalist_count,championship_count,win_rate,place_rate,avg_start_time,course_1_entry_count,course_1_place_rate,course_1_avg_start_time,course_1_avg_start_order,course_1_1st_count,course_1_2nd_count,course_1_3rd_count,course_1_4th_count,course_1_5th_count,course_1_6th_count,course_1_F_count,course_1_L0_count,course_1_L1_count,course_1_K0_count,course_1_K1_count,course_1_S0_count,course_1_S1_count,course_1_S2_count,course_2_entry_count,course_2_place_rate,course_2_avg_start_time,course_2_avg_start_order,course_2_1st_count,course_2_2nd_count,course_2_3rd_count,course_2_4th_count,course_2_5th_count,course_2_6th_count,course_2_F_count,course_2_L0_count,course_2_L1_count,course_2_K0_count,course_2_K1_count,course_2_S0_count,course_2_S1_count,course_2_S2_count,course_3_entry_count,course_3_place_rate,course_3_avg_start_time,course_3_avg_start_order,course_3_1st_count,course_3_2nd_count,course_3_3rd_count,course_3_4th_count,course_3_5th_count,course_3_6th_count,course_3_F_count,course_3_L0_count,course_3_L1_count,course_3_K0_count,course_3_K1_count,course_3_S0_count,course_3_S1_count,course_3_S2_count,course_4_entry_count,course_4_place_rate,course_4_avg_start_time,course_4_avg_start_order,course_4_1st_count,course_4_2nd_count,course_4_3rd_count,course_4_4th_count,course_4_5th_count,course_4_6th_count,course_4_F_count,course_4_L0_count,course_4_L1_count,course_4_K0_count,course_4_K1_count,course_4_S0_count,course_4_S1_count,course_4_S2_count,course_5_entry_count,course_5_place_rate,course_5_avg_start_time,course_5_avg_start_order,course_5_1st_count,course_5_2nd_count,course_5_3rd_count,course_5_4th_count,course_5_5th_count,course_5_6th_count,course_5_F_count,course_5_L0_count,course_5_L1_count,course_5_K0_count,course_5_K1_count,course_5_S0_count,course_5_S1_count,course_5_S2_count,course_6_entry_count,course_6_place_rate,course_6_avg_start_time,course_6_avg_start_order,course_6_1st_count,course_6_2nd_count,course_6_3rd_count,course_6_4th_count,course_6_5th_count,course_6_6th_count,course_6_F_count,course_6_L0_count,course_6_L1_count,course_6_K0_count,course_6_K1_count,course_6_S0_count,course_6_S1_count,course_6_S2_count,no_course_L0_count,no_course_L1_count,no_course_K0_count,no_course_K1_count
2014,2024,2,101,7,14,0,0,4.09,20.7,0.19,20,40.0,0.16,2.9,3,5,3,4,2,3,0,0,0,0,0,0,0,0,16,43.7,0.16,2.3,3,4,1,5,3,0,0,0,0,0,0,0,0,0,18,11.1,0.19,3.5,0,2,2,5,8,1,0,0,0,0,0,0,0,0,15,20.0,0.18,3.7,1,2,0,5,4,3,0,0,0,0,0,0,0,0,19,0.0,0.2,4.0,0,0,4,2,4,9,0,0,0,0,0,0,0,0,13,7.6,0.24,4.2,0,1,2,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0
2538,2024,2,102,5,10,0,0,4.22,14.7,0.19,13,38.4,0.2,3.8,3,2,2,4,1,1,0,0,0,0,0,1,0,0,22,22.7,0.2,3.9,1,4,3,4,9,1,0,0,0,0,0,0,0,0,19,5.2,0.19,4.1,0,1,10,4,1,3,0,0,0,0,0,0,0,0,20,20.0,0.18,3.6,1,3,2,8,3,3,0,0,0,0,0,0,0,0,19,0.0,0.18,4.1,0,0,2,7,4,6,0,0,0,0,0,0,0,0,9,0.0,0.2,4.9,0,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2878,2024,2,136,23,34,2,0,5.94,41.9,0.17,30,73.3,0.17,3.3,14,8,1,6,1,0,0,0,0,0,0,0,0,0,24,37.5,0.17,3.5,1,8,8,3,3,1,0,0,0,0,0,0,0,0,19,31.5,0.17,2.8,3,3,3,3,4,3,0,0,0,0,0,0,0,0,26,46.1,0.18,3.2,2,10,5,5,4,0,0,0,0,0,0,0,0,0,23,34.7,0.16,2.9,3,5,3,8,2,2,0,0,0,0,0,1,0,0,14,0.0,0.18,4.4,0,0,3,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
2930,2024,2,39,4,7,0,0,4.59,28.2,0.23,9,66.6,0.22,2.7,4,2,1,0,1,1,0,0,0,0,0,0,0,0,10,10.0,0.21,3.8,0,1,5,0,2,2,0,0,0,0,0,0,0,0,9,33.3,0.24,4.6,0,3,0,2,2,2,0,0,0,0,0,1,0,0,7,14.2,0.23,4.3,0,1,1,1,3,1,0,0,0,0,0,0,0,0,2,0.0,0.23,4.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0.0,0.27,5.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
3024,2024,2,162,40,38,2,0,6.35,48.1,0.15,43,60.4,0.15,2.6,18,8,10,4,1,2,0,0,0,0,0,0,0,0,112,44.6,0.15,3.1,21,29,16,18,19,7,1,0,0,0,0,1,0,1,6,33.3,0.16,3.5,1,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.24,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3044,2024,2,65,4,7,0,0,4.42,16.9,0.18,10,50.0,0.2,3.9,3,2,2,2,1,0,0,0,0,0,0,0,0,0,11,27.2,0.19,4.0,1,2,1,4,2,1,0,0,0,0,0,0,0,0,11,0.0,0.16,3.5,0,0,4,3,3,1,0,0,0,0,0,0,0,0,13,15.3,0.17,3.3,0,2,5,1,5,0,0,0,0,0,0,0,0,0,8,12.5,0.16,3.9,0,1,1,2,2,2,0,0,0,0,0,0,0,0,10,0.0,0.18,3.9,0,0,2,4,3,1,0,0,0,0,0,0,0,0,0,0,2,2
3054,2024,2,103,19,26,1,0,5.83,43.6,0.16,21,80.9,0.16,2.9,10,7,2,2,0,0,0,0,0,0,0,0,0,0,18,38.8,0.15,3.1,1,6,7,2,0,2,0,0,0,0,0,1,0,0,18,50.0,0.16,3.0,2,7,1,4,1,3,0,0,0,0,0,0,0,0,18,33.3,0.16,2.3,4,2,3,1,4,4,0,0,0,0,0,0,0,0,17,23.5,0.17,3.7,2,2,2,6,3,2,0,0,0,0,0,0,0,0,11,18.1,0.17,3.3,0,2,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0
3065,2024,2,89,4,4,0,0,4.07,8.9,0.21,14,28.5,0.22,3.6,3,1,3,3,1,3,0,0,0,0,0,0,0,0,16,6.2,0.19,4.6,0,1,4,7,3,1,0,0,0,0,0,0,0,0,14,7.1,0.2,3.6,1,0,6,5,1,1,0,0,0,0,0,0,0,0,17,0.0,0.21,3.5,0,0,3,5,7,2,0,0,0,0,0,0,0,0,16,0.0,0.23,4.4,0,0,1,7,5,3,0,0,0,0,0,0,0,0,12,16.6,0.22,4.6,0,2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
3070,2024,2,91,24,22,3,0,6.44,50.5,0.15,18,77.7,0.12,2.6,12,2,2,1,1,0,0,0,0,0,0,0,0,0,34,52.9,0.17,3.7,5,13,7,4,4,1,0,0,0,0,0,0,0,0,19,26.3,0.15,3.4,4,1,4,5,2,3,0,0,0,0,0,0,0,0,20,45.0,0.15,3.2,3,6,1,4,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
3072,2024,2,102,15,25,2,0,5.59,39.2,0.15,17,82.3,0.15,2.8,8,6,1,1,1,0,0,0,0,0,0,0,0,0,71,32.3,0.15,2.9,6,17,14,13,17,4,0,0,0,0,0,0,0,0,10,30.0,0.15,2.8,1,2,3,0,3,1,0,0,0,0,0,0,0,0,4,0.0,0.17,4.0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
