racer_id,year,period,race_count,first_count,second_count,finalist_count,championship_count,win_rate,place_rate,avg_start_time,course_1_entry_count,course_1_place_rate,course_1_avg_start_time,course_1_avg_start_order,course_1_1st_count,course_1_2nd_count,course_1_3rd_count,course_1_4th_count,course_1_5th_count,course_1_6th_count,course_1_F_count,course_1_L0_count,course_1_L1_count,course_1_K0_count,course_1_K1_count,course_1_S0_count,course_1_S1_count,course_1_S2_count,course_2_entry_count,course_2_place_rate,course_2_avg_start_time,course_2_avg_start_order,course_2_1st_count,course_2_2nd_count,course_2_3rd_count,course_2_4th_count,course_2_5th_count,course_2_6th_count,course_2_F_count,course_2_L0_count,course_2_L1_count,course_2_K0_count,course_2_K1_count,course_2_S0_count,course_2_S1_count,course_2_S2_count,course_3_entry_count,course_3_place_rate,course_3_avg_start_time,course_3_avg_start_order,course_3_1st_count,course_3_2nd_count,course_3_3rd_count,course_3_4th_count,course_3_5th_count,course_3_6th_count,course_3_F_count,course_3_L0_count,course_3_L1_count,course_3_K0_count,course_3_K1_count,course_3_S0_count,course_3_S1_count,course_3_S2_count,course_4_entry_count,course_4_place_rate,course_4_avg_start_time,course_4_avg_start_order,course_4_1st_count,course_4_2nd_count,course_4_3rd_count,course_4_4th_count,course_4_5th_count,course_4_6th_count,course_4_F_count,course_4_L0_count,course_4_L1_count,course_4_K0_count,course_4_K1_count,course_4_S0_count,course_4_S1_count,course_4_S2_count,course_5_entry_count,course_5_place_rate,course_5_avg_start_time,course_5_avg_start_order,course_5_1st_count,course_5_2nd_count,course_5_3rd_count,course_5_4th_count,course_5_5th_count,course_5_6th_count,course_5_F_count,course_5_L0_count,course_5_L1_count,course_5_K0_count,course_5_K1_count,course_5_S0_count,course_5_S1_count,course_5_S2_count,course_6_entry_count,course_6_place_rate,course_6_avg_start_time,course_6_avg_start_order,course_6_1st_count,course_6_2nd_count,course_6_3rd_count,course_6_4th_count,course_6_5th_count,course_6_6th_count,course_6_F_count,course_6_L0_count,course_6_L1_count,course_6_K0_count,course_6_K1_count,course_6_S0_count,course_6_S1_count,course_6_S2_count,no_course_L0_count,no_course_L1_count,no_course_K0_count,no_course_K1_count
2538,2026,1,89,1,9,0,0,3.37,11.2,0.21,15,40.0,0.17,4.6,1,5,2,1,4,2,0,0,0,0,0,0,0,0,19,10.5,0.17,3.9,0,2,5,2,5,5,0,0,0,0,0,0,0,0,17,0.0,0.24,5.1,0,0,0,5,5,6,0,0,0,0,0,0,1,0,15,6.6,0.21,4.3,0,1,3,2,4,5,0,0,0,0,0,0,0,0,18,5.5,0.25,4.9,0,1,1,8,4,4,0,0,0,0,0,0,0,0,5,0.0,0.28,5.0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2878,2026,1,115,17,22,0,0,5.39,33.9,0.17,21,66.6,0.17,3.7,10,4,3,1,2,1,0,0,0,0,0,0,0,0,19,42.1,0.14,3.7,5,3,6,4,0,1,0,0,0,0,0,0,0,0,28,25.0,0.18,3.8,1,6,5,9,4,3,0,0,0,0,0,0,0,0,23,39.1,0.16,3.0,1,8,7,3,4,0,0,0,0,0,0,0,0,0,15,0.0,0.18,4.1,0,0,0,4,9,2,0,0,0,0,0,0,0,0,9,11.1,0.17,4.1,0,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
3024,2026,1,118,41,30,5,1,7.02,60.1,0.15,44,77.2,0.15,2.8,25,9,1,6,2,1,0,0,0,0,0,0,0,0,65,47.6,0.16,3.0,15,16,9,12,7,6,0,0,0,0,0,1,0,0,6,66.6,0.16,1.7,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,100.0,0.16,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0.13,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.12,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3054,2026,1,87,13,13,0,0,4.66,29.8,0.16,17,70.5,0.16,3.9,9,3,2,0,1,2,0,0,0,0,0,0,0,0,14,28.5,0.15,3.6,1,3,1,1,4,4,0,0,0,0,0,0,0,0,12,41.6,0.15,2.7,1,4,1,2,1,3,0,0,0,0,0,0,0,0,18,22.2,0.16,2.6,2,2,2,4,2,4,1,0,0,0,0,0,0,1,14,7.1,0.16,3.2,0,1,2,2,5,4,0,0,0,0,0,0,0,0,12,0.0,0.17,2.9,0,0,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
3070,2026,1,74,6,15,1,0,4.96,28.3,0.16,10,50.0,0.12,2.0,3,2,2,1,1,1,0,0,0,0,0,0,0,0,28,32.1,0.19,3.7,2,7,4,7,3,5,0,0,0,0,0,0,0,0,18,16.6,0.17,4.0,1,2,2,5,6,2,0,0,0,0,0,0,0,0,15,26.6,0.12,2.3,0,4,4,4,2,1,0,0,0,0,0,0,0,0,3,0.0,0.14,2.3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072,2026,1,109,11,19,0,0,4.5,27.5,0.15,29,65.5,0.12,2.3,9,10,0,5,4,1,0,0,0,0,0,0,0,0,74,13.5,0.16,3.3,2,8,11,17,21,15,0,0,0,0,0,1,0,0,6,16.6,0.21,4.3,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3075,2026,1,119,11,17,0,0,4.74,23.5,0.13,19,47.3,0.12,2.5,8,1,3,4,1,2,0,0,0,0,0,0,0,0,20,30.0,0.13,2.9,1,5,3,5,1,5,0,0,0,0,0,1,0,0,23,8.7,0.14,2.9,1,1,4,9,6,2,0,0,0,0,0,0,0,0,22,36.3,0.13,2.8,1,7,7,2,4,1,0,0,0,0,0,0,0,0,16,6.2,0.14,2.3,0,1,5,3,3,4,0,0,0,0,0,0,0,0,19,10.5,0.13,2.7,0,2,3,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0
3081,2026,1,77,13,15,0,0,5.27,36.3,0.17,15,60.0,0.19,3.5,6,3,0,3,2,1,0,0,0,0,0,0,0,0,12,66.6,0.13,2.2,5,3,0,3,1,0,0,0,0,0,0,1,0,0,13,53.8,0.16,2.8,1,6,1,2,1,2,0,0,0,0,0,0,0,0,11,9.0,0.19,4.5,0,1,2,3,3,2,0,0,0,0,0,0,0,0,18,11.1,0.15,3.4,1,1,6,4,4,2,0,0,0,0,0,0,0,0,7,14.2,0.2,4.3,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1
3105,2026,1,107,12,15,0,0,4.68,25.2,0.16,18,66.6,0.16,2.8,7,5,3,0,1,2,0,0,0,0,0,0,0,0,19,21.0,0.14,3.3,3,1,6,3,5,1,0,0,0,0,0,0,0,0,23,21.7,0.15,3.2,1,4,3,8,4,3,0,0,0,0,0,0,0,0,17,23.5,0.19,3.1,1,3,2,4,5,2,0,0,0,0,0,0,0,0,16,12.5,0.19,4.1,0,2,4,2,1,7,0,0,0,0,0,0,0,0,14,0.0,0.16,3.4,0,0,2,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0
3107,2026,1,95,7,7,0,0,4.07,14.7,0.16,14,50.0,0.16,3.4,6,1,2,4,1,0,0,0,0,0,0,0,0,0,13,15.3,0.17,4.5,0,2,4,3,2,2,0,0,0,0,0,0,0,0,21,9.5,0.17,3.6,0,2,1,5,7,6,0,0,0,0,0,0,0,0,17,0.0,0.17,4.0,0,0,6,4,2,4,0,0,0,0,0,1,1,0,17,11.7,0.16,3.4,1,1,3,4,6,2,0,0,0,0,0,0,0,0,13,7.6,0.14,3.2,0,1,2,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0
